id,name,year,latitude,longitude,city,cuisine,price,url
1,Kilian Stuba,2019,47.34858,10.17114,Kleinwalsertal,Creative,$$$$$,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba
2,Pfefferschiff,2019,47.83787,13.07917,Hallwang,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff
3,Esszimmer,2019,47.80685,13.03409,Salzburg,Creative,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer
4,Carpe Diem,2019,47.80001,13.04006,Salzburg,Market cuisine,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem
5,Edvard,2019,48.216503,16.36852,Wien,Modern cuisine,$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard
6,Das Loft,2019,48.21272,16.37931,Wien,Modern cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft
7,Pramerl & the Wolf,2019,48.20945,16.37174,Wien,Creative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf
8,Walter Bauer,2019,48.20923,16.37672,Wien,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer
9,SHIKI,2019,48.204067,16.37098,Wien,Japanese,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki
10,Tian,2019,48.20513,16.37456,Wien,Vegetarian,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian
11,aend,2019,48.18957,16.34115,Wien,Modern cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend
12,Le Ciel by Toni Mörwald,2019,48.20209,16.37156,Wien,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald
13,Chez TJ,2019,37.39468,-122.08044,South San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj
14,Protégé,2019,37.427853,-122.14362,South San Francisco,Contemporary,$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege
15,Madera,2019,37.42014,-122.21151,San Francisco,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera
16,The Village Pub,2019,37.42897,-122.25178,San Francisco,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub
17,Plumed Horse,2019,37.25648,-122.03537,South San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse
18,Wakuriya,2019,37.52114,-122.3366,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya
19,Sushi Yoshizumi,2019,37.565075,-122.3211,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi
20,Rasa,2019,37.577522,-122.345985,San Francisco,Indian,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa
21,Maum,2019,37.72669,-122.414215,South San Francisco,Korean,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum
22,Al's Place,2019,37.748924,-122.42013,San Francisco,Californian,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place
23,Aster,2019,37.755054,-122.423134,San Francisco,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster
24,Omakase,2019,37.77077,-122.40298,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase
25,Commonwealth,2019,37.761395,-122.41946,San Francisco,Contemporary,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth
26,Luce,2019,37.78194,-122.40498,San Francisco,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce
27,Birdsong,2019,37.779495,-122.41048,San Francisco,American,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong
28,In Situ,2019,37.785633,-122.40113,San Francisco,International,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ
29,Mourad,2019,37.78695,-122.39987,San Francisco,Moroccan,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad
30,Hashiri,2019,37.783062,-122.40754,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri
31,Angler,2019,37.793167,-122.39213,San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler
32,Rich Table,2019,37.774914,-122.42271,San Francisco,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table
33,Kin Khao,2019,37.785267,-122.40951,San Francisco,Thai,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao
34,Michael Mina,2019,37.79349,-122.399574,San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina
35,Sons & Daughters,2019,37.79037,-122.40917,San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters
36,Mister Jiu's,2019,37.79371,-122.406654,San Francisco,Chinese,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius
37,Nico,2019,37.795803,-122.40333,San Francisco,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico
38,jū-ni,2019,37.77672,-122.43886,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni
39,Keiko à Nob Hill,2019,37.793106,-122.41445,San Francisco,Fusion,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill
40,The Progress,2019,37.78371,-122.43282,San Francisco,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress
41,State Bird Provisions,2019,37.783737,-122.43283,San Francisco,American,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions
42,Octavia,2019,37.787857,-122.42709,San Francisco,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia
43,SPQR,2019,37.78732,-122.43375,San Francisco,Italian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr
44,Lord Stanley,2019,37.79592,-122.42208,San Francisco,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley
45,Kinjo,2019,37.79699,-122.422005,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo
46,Sorrel,2019,37.788334,-122.44614,San Francisco,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel
47,Gary Danko,2019,37.80599,-122.42066,San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko
48,Bar Crenn,2019,37.798435,-122.43581,San Francisco,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn
49,Spruce,2019,37.78772,-122.45264,San Francisco,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce
50,Wako,2019,37.783035,-122.461525,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako
51,Madcap,2019,37.974712,-122.56168,San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap
52,Aubergine,2019,36.55406,-121.924355,Monterey,Contemporary,$$$$,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine
53,Kenzo,2019,38.29924,-122.28928,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo
54,La Toque,2019,38.30351,-122.28349,San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque
55,Bouchon,2019,38.40258,-122.3619,San Francisco,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon
56,Auberge du Soleil,2019,38.49199,-122.40534,San Francisco,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil
57,Farmhouse Inn & Restaurant,2019,38.49039,-122.8835,San Francisco,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant
